driverId,name,ssn,location,certified,wage-plan
10,Robert Silva,271-64-6279,"1102 Glover Garden Suite 883
Smithport, MT 18779",N,hours
11,Eric Ortega,523-24-1443,"75046 Lauren Gateway
Williamview, NM 32472",Y,miles
12,Lori Williams,463-51-8845,"6737 Thomas Turnpike
South Danielfort, DC 02322",N,miles
13,David Wright,245-70-4329,"PSC 4153, Box 3413
APO AE 06648",N,hours
14,Danielle Nolan,183-13-6693,"5029 George Forks Suite 462
Johnmouth, AS 17076",Y,hours
15,Gary Thomas,421-07-4264,"359 Fleming Park Suite 208
Jonathanland, NV 70915",Y,hours
16,Justin Cuevas,706-23-0874,"20916 Sean Pike Suite 501
Delgadoberg, WI 97870",Y,miles
17,Marcus Nguyen,763-58-8079,"2981 Brittany Locks
Hillchester, KY 91595",N,hours
18,Terry Medina,688-59-1091,"PSC 5856, Box 7630
APO AE 62874",Y,miles
19,Olivia White,221-06-9764,"PSC 9332, Box 1346
APO AP 58260",N,miles
20,Elizabeth Stuart,542-90-4747,"4713 Joseph Ridges Apt. 135
Cochranfurt, TX 98054",Y,hours
21,Mark Ryan,895-29-1068,"887 Amanda Locks Apt. 895
North John, CO 38154",N,miles
22,Jacob Rivera MD,214-99-6048,"PSC 7781, Box 4824
APO AA 13620",N,hours
23,Richard Smith,065-63-0743,"127 Anderson Gateway Apt. 234
Ramosburgh, MA 99817",N,miles
24,Dwayne Mccullough,853-11-2695,"659 Fields Ridge
Danielchester, MS 62530",N,hours
25,Matthew Ramirez,734-41-5331,"3304 Catherine Spring
Campbellberg, KS 00952",N,miles
26,David Fleming,059-90-2054,"3234 Blackburn Point Suite 429
North Katherine, KS 20203",N,miles
27,Cynthia Wells,652-13-9065,"840 Gary Stravenue
Port Marcusburgh, NJ 98726",Y,hours
28,David Bowman,877-90-2527,"792 Michelle Centers Apt. 310
Jamesland, KY 93013",Y,miles
29,Edward Douglas,542-13-4566,"395 Lynch Gardens Suite 722
Port Shawnborough, NH 02778",N,hours
30,George Scott,366-42-3286,"9571 Monroe Vista Apt. 371
East Ashley, AK 00550",Y,hours
31,Kathleen Smith,695-01-0513,"Unit 2234 Box 0717
DPO AP 64335",N,miles
32,Kathryn Lewis,405-55-5191,"480 Olson Islands Suite 749
Alvarezborough, KY 05937",N,hours
33,Mark Cobb,233-50-0256,"4801 Green Divide
Nortonfurt, WY 43225",Y,miles
34,Stuart Maldonado,425-26-7530,"211 Phillips Throughway Suite 986
East Jasmineside, PA 87689",Y,hours
35,Jonathan Phillips,896-10-8248,"5300 Angela Via Suite 098
West Katherinefort, MI 13601",Y,hours
